id,admin,first_name,last_name,initial,class,grade,register,reg_date,username,email,cell
1,001-AB,Abhijith,Badari,AB,08L,08,L,2020-10-07,abadari,abadari@sla.co.ac,0821826637
2,002-AC,Adheer,Confait,AC,08L,08,L,2020-09-25,aconfait,aconfait@sla.co.ac,0827471579
3,003-AF,Adrian,Froud,AF,08L,08,L,2020-08-23,afroud,afroud@sla.co.ac,0822827764
4,004-AH,Aidan,Haviga,AH,08L,08,L,2020-04-12,ahaviga,ahaviga@sla.co.ac,0824882565
5,005-AI,Akshar,Ighalo,AI,08L,08,L,2020-02-30,aighalo,aighalo@sla.co.ac,0823501680
6,006-AJ,Alexander,Joubert,AJ,08L,08,L,2020-04-15,ajoubert,ajoubert@sla.co.ac,0829044749
7,007-AL,Alexis,Letsholo,AL,08L,08,L,2020-01-30,aletsholo,aletsholo@sla.co.ac,0823332419
8,008-AL,Alister,Levey,AL,08L,08,L,2020-06-02,alevey,alevey@sla.co.ac,0825006982
9,009-AL,Alre',Ludik,AL,08L,08,L,2020-01-10,aludik,aludik@sla.co.ac,0821887067
10,010-AM,Amahle,Matadin,AM,08L,08,L,2020-07-15,amatadin,amatadin@sla.co.ac,0828213517
11,011-AM,Amber,Meyi,AM,08L,08,L,2020-09-09,ameyi,ameyi@sla.co.ac,0820096709
12,012-AM,Angelique,Mochaka,AM,08L,08,L,2020-12-25,amochaka,amochaka@sla.co.ac,0825782094
13,013-AM,Annika,Mokoena,AM,08L,08,L,2020-02-26,amokoena,amokoena@sla.co.ac,0826812647
14,014-AN,Aquesha,Naidoo,AN,08L,08,L,2020-06-23,anaidoo,anaidoo@sla.co.ac,0827209632
15,015-AN,Armaan,Ndhlovu,AN,08L,08,L,2020-12-04,andhlovu,andhlovu@sla.co.ac,0828756792
16,016-AN,Arya,Norton,AN,08L,08,L,2020-07-13,anorton,anorton@sla.co.ac,0823525429
17,017-AR,Ashley,Roddan,AR,08L,08,L,2020-09-25,aroddan,aroddan@sla.co.ac,0828633898
18,018-AS,Ashley,Slabbert,AS,08L,08,L,2020-01-03,aslabbert,aslabbert@sla.co.ac,0826659103
19,019-AS,Avhan,Smallwood,AS,08L,08,L,2020-09-24,asmallwood,asmallwood@sla.co.ac,0822883287
20,020-AS,Ayden,Smith,AS,08L,08,L,2020-08-23,asmith,asmith@sla.co.ac,0829568892
21,021-AS,Aysha,Steenkamp,AS,08L,08,L,2020-10-14,asteenkamp,asteenkamp@sla.co.ac,0824699254
22,022-BT,Bianca,Tiltmann,BT,08L,08,L,2020-01-10,btiltmann,btiltmann@sla.co.ac,0820224328
23,023-BW,Boitumelo,Waite,BW,08L,08,L,2020-04-08,bwaite,bwaite@sla.co.ac,0829657979
24,024-BW,Bontle,Woodburn,BW,08L,08,L,2020-11-19,bwoodburn,bwoodburn@sla.co.ac,0820674246
25,025-BL,Brayden,Lottering,BL,08L,08,L,2020-07-03,blottering,blottering@sla.co.ac,0827429841
26,026-BA,Brian,Adams,BA,08M,08,M,2020-07-20,badams,badams@sla.co.ac,0820395691
27,027-BB,Brianagh,Baleta,BB,08M,08,M,2020-03-05,bbaleta,bbaleta@sla.co.ac,0823632418
28,028-BB,Bronwyn,Britz,BB,08M,08,M,2020-03-20,bbritz,bbritz@sla.co.ac,0826084333
29,029-CC,Caitanya,Clark,CC,08M,08,M,2020-10-15,cclark,cclark@sla.co.ac,0824076884
30,030-CE,Caity,Edmondson,CE,08M,08,M,2020-07-14,cedmondson,cedmondson@sla.co.ac,0823833157
31,031-CF,Charlton,Fourie,CF,08M,08,M,2020-03-13,cfourie,cfourie@sla.co.ac,0820639579
32,032-CJ,Charlyn,Jardim,CJ,08M,08,M,2020-07-03,cjardim,cjardim@sla.co.ac,0827583028
33,033-CJ,Chelsea,Jones,CJ,08M,08,M,2020-01-11,cjones,cjones@sla.co.ac,0825569244
34,034-CK,Chloe,Khan,CK,08M,08,M,2020-07-27,ckhan,ckhan@sla.co.ac,0828638725
35,035-CL,Cleomé,Liebenberg,CL,08M,08,M,2020-05-06,cliebenberg,cliebenberg@sla.co.ac,0820096751
36,036-CM,Colette,Malatji,CM,08M,08,M,2020-04-27,cmalatji,cmalatji@sla.co.ac,0829033764
37,037-CM,Corbyn,Marx,CM,08M,08,M,2020-03-28,cmarx,cmarx@sla.co.ac,0825729758
38,038-DM,Daelin,Matjila,DM,08M,08,M,2020-10-13,dmatjila,dmatjila@sla.co.ac,0824136333
39,039-DM,Danica,Morrey,DM,08M,08,M,2020-01-14,dmorrey,dmorrey@sla.co.ac,0820757850
40,040-DM,Daniel,Motsaanaka,DM,08M,08,M,2020-10-01,dmotsaanaka,dmotsaanaka@sla.co.ac,0822046460
41,041-DM,Daniel,Murimwa,DM,08M,08,M,2020-10-27,dmurimwa,dmurimwa@sla.co.ac,0829815473
42,042-DN,Daniella,Neto,DN,08M,08,M,2020-10-01,dneto,dneto@sla.co.ac,0825041307
43,043-DN,Dean,Nhlapo,DN,08M,08,M,2020-09-09,dnhlapo,dnhlapo@sla.co.ac,0823297044
44,044-DR,Declan,Roman,DR,08M,08,M,2020-07-04,droman,droman@sla.co.ac,0821054078
45,045-DR,Dehan,Rugnanan,DR,08M,08,M,2020-11-02,drugnanan,drugnanan@sla.co.ac,0823258727
46,046-DT,Denike,Taljaard,DT,08M,08,M,2020-02-03,dtaljaard,dtaljaard@sla.co.ac,0829226489
47,047-DV,Dillon,Verwey,DV,08M,08,M,2020-04-18,dverwey,dverwey@sla.co.ac,0822745008
